codigo,nome,produto_base_sugerido,nome_base,descricao_do_base_NAO_APLICADA
2015,Geladeira Sonho de Menina Caixa Individual,2012,Geladeira Sonho de Menina,A Geladeira Sonho de Menina é ideal para completar a cozinha no universo do faz de conta.
2019,Acqua Bubble Caixa Individual,2018,Acqua Bubble,O Acqua Bubble proporciona uma experiência lúdica que simula o preparo e organização na cozinha.
3053,Mesinha de Atividades Rosa Caixa Individual,,,
3054,Mesinha de Atividades Azul Caixa Indivudual,,,
3079,Boneco de Vinil Temático Pocoyo Frankenstein,,,
4016,Tópi Mileva,,,
6006,Totokinha Bolinha Azul Caixa Individual,3034,Totokinha Bolinha Azul,A Totokinha Bolinha Azul é ideal para transformar os primeiros movimentos em uma experiência dinâmica e divertida.
6007,Totoka Plus sem Eletrônico Rosa Caixa Individual,3045,Totoka Plus sem Eletrônico Rosa,A Totoka Plus Sem Eletrônico Rosa é uma montaria infantil projetada para acompanhar a criança na fase de transição entre ser conduzida e conduzir seus próprios movimentos.
6008,Totoka Plus sem Eletrônico Azul Caixa Individual,3046,Totoka Plus sem Eletrônico Azul,A Totoka Plus Sem Eletrônico Azul é ideal para estimular mobilidade com segurança.
6010,Totokinha Sport Rosa Caixa Individual,3066,Totokinha Sport Rosa,"A Totokinha Sport Rosa possui design moderno e perfil esportivo, ideal para crianças que já demonstram maior firmeza nos movimentos."
6011,Totokinha Sport Azul Caixa Individual,3067,Totokinha Sport Azul,A Totokinha Sport Azul foi desenvolvida para crianças que já apresentam maior controle corporal e gostam de mobilidade mais ativa.
6012,Totokinha Pocoyo com Boneco Caixa Individual,3063,Totokinha Pocoyo com Boneco,"A Totokinha Pocoyo com Boneco é um brinquedo completo para a fase dos primeiros passos, unindo mobilidade, diversão e aprendizado em um único produto."
6013,Totokinha Elly com Boneco Caixa Individual,3068,Totokinha Elly com Boneco,"A Totokinha Elly com Boneco é um brinquedo completo para a fase dos primeiros passos, unindo mobilidade, aprendizado e o universo encantador da personagem Elly."
6017,Totokinha Disney Ariel Caixa Individual,3096,Totokinha Disney Ariel,A Totokinha Disney Ariel transforma a fase dos primeiros passos em uma experiência encantadora ao lado de uma das princesas mais amadas do universo Disney.
6018,Totokinha Marvel Spidey Caixa Individual,3098,Totokinha Marvel Spidey,A Totokinha Marvel Spidey transforma os primeiros passos em uma aventura cheia de ação ao lado do herói favorito das crianças.
6019,Totokinha Galinha Pintadinha Mini Caixa Individual,3112,Totokinha Galinha Pintadinha Mini,"A Totokinha Galinha Pintadinha Mini é perfeita para a fase dos primeiros passos, unindo mobilidade, aprendizado e o universo da personagem mais querida do Brasil."
6020,Totokinha Bluey Caixa Individual,3123,Totokinha Bluey,A Totokinha Bluey é perfeita para acompanhar a fase dos primeiros passos com o carisma da personagem que conquistou famílias no mundo todo.
6021,Totokinha Disney Princesas Caixa Individual,3124,Totokinha Disney Princesas,A Totokinha Princesas é perfeita para acompanhar a fase dos primeiros passos com um toque de encanto e imaginação.
7143,City Rescue Bombeiro,,,
